Expt_No,Location,Depth,TON,Nitrite,Phosphate,Silicate,Nitrate,Temperature,Salinity
1,NJ2020,,1.74,0.25,0.18,0,1.48,21.0,22.17
2,NJ2020,,1.63,0.23,0.29,0.36,1.4,21.7,22.20
3,NJ2020,,1.16,0.21,1.06,0.27,0.95,21.7,22.30
4,NJ2020,,0.57,0.12,0.53,1.24,0.45,22.3,22.40
5,NJ2020,,1.01,0.14,0.22,0.99,0.86,18.2,44.80
6,NJ2020,,1.54,0.32,0.32,0.95,1.22,17.2,22.53
7,NJ2020,,1.25,0.28,0.26,1.03,0.97,18.2,22.60
1,PE477,7,0.26,0,0.15,0,0.26,17.2,34.3
2,PE477,7,0.1,0,0.17,0,0.11,15.8,34.5
3,PE477,7,0.5,0.06,0.19,0,0.44,,
3,PE477,15,1.76,0.2,0.3,0,1.57,,
3,PE477,30,0.79,0.08,0.23,0,0.71,,
4,PE477,7,0.75,0.1,0.19,0.15,0.65,13.2,34.2
4,PE477,15,2.36,0.12,0.29,0.44,2.24,13.2,34.6
4,PE477,30,3.15,0.14,0.34,0.64,3.01,12.0,34.4
5,PE477,7,0.14,0.03,0.18,0,0.11,14.2,34.3
5,PE477,15,0.14,0.03,0.19,0,0.11,14.2,34.3
5,PE477,30,2.46,0.4,0.31,0.06,2.06,13.6,34.3
6,PE477,7,0.79,0,0.12,0,0.79,16.3,34.8
6,PE477,15,0.02,0,0.05,0,0.03,16.3,34.6
6,PE477,30,5.01,0,0.45,1.18,5,16.3,34.6
7,PE477,7,0.23,0,0.14,0,0.24,16.1,34.8
7,PE477,15,0,0,0.09,0,0.02,16.1,34.8
7,PE477,30,0.05,0,0.12,0,0.06,16.1,34.8
1,PE486,7,6.03,0.11,0.34,0.42,5.92,6.1,34.1
1,PE486,15,4.47,0.1,0.3,0.305,4.37,6.1,34.1
1,PE486,30,3.88,0.09,0.26,0.22,3.79,6.1,34.1
2,PE486,7,1.245,0.06,0.08,-0.11,1.19,6.5,34.2
2,PE486,15,1.74,0.06,0.12,0.075,1.68,6.4,34.2
2,PE486,30,3.43,0.075,0.2,0.385,3.355,6.0,34.2
3,PE486,7,-0.075,-0.02,0.11,-1.495,-0.06,6,34.1
3,PE486,15,0.08,-0.02,0.13,-1.48,0.095,6,34.1
4,PE486,7,3.665,0.09,0.3,-1.115,3.575,7.1,34.2
4,PE486,15,3.4,0.09,0.3,-1.1,3.31,7,34.2
4,PE486,30,3.9,0.11,0.34,-1.165,3.795,7,34.2
5,PE486,7,2.095,0.08,0.3,-1.01,2.015,7,34.2
5,PE486,15,2.175,0.08,0.3,-1.005,2.1,7,34.2
6,PE486,7,0.005,-0.015,0.12,-1.45,0.015,6,34.2
6,PE486,15,0.02,-0.02,0.12,-1.45,0.04,6,34.2
6,PE486,30,-0.085,-0.02,0.12,-1.44,-0.065,6,34.2
7,PE486,7,-0.09,-0.015,0.1,-1.44,-0.08,7,34.3
7,PE486,15,-0.07,-0.01,0.12,-1.43,-0.055,7,34.3
7,PE486,30,-0.075,-0.015,0.12,-1.425,-0.055,7,34.3
8,PE486,7,1.37,0.05,0.22,-1.42,1.32,7,34.2
8,PE486,15,1.515,0.06,0.36,-1.42,1.455,7,34.2
8,PE486,30,2.025,0.09,0.26,-1.42,1.935,7,34.2
