file_name,pop,count
ba201028.015,root,22290
ba201028.015,Bacteria,9911
ba201028.015,HNA_Bacteria,4749
ba201028.015,LNA_Bacteria,5162
ba201028.015,Viruses,9417
ba201028.015,V1,0
ba201028.015,V2,6085
ba201028.015,V3,2666
BA210506.102,root,30
BA210506.102,Bacteria,4
BA210506.102,HNA_Bacteria,1
BA210506.102,LNA_Bacteria,3
BA210506.102,Viruses,7
BA210506.102,V1,0
BA210506.102,V2,6
BA210506.102,V3,1
BA210506.103,root,15
BA210506.103,Bacteria,2
BA210506.103,HNA_Bacteria,0
BA210506.103,LNA_Bacteria,2
BA210506.103,Viruses,1
BA210506.103,V1,0
BA210506.103,V2,1
BA210506.103,V3,0
BA210506.104,root,15
BA210506.104,Bacteria,3
BA210506.104,HNA_Bacteria,0
BA210506.104,LNA_Bacteria,3
BA210506.104,Viruses,2
BA210506.104,V1,0
BA210506.104,V2,2
BA210506.104,V3,0
BA210506.105,root,15
BA210506.105,Bacteria,3
BA210506.105,HNA_Bacteria,1
BA210506.105,LNA_Bacteria,2
BA210506.105,Viruses,0
BA210506.105,V1,0
BA210506.105,V2,0
BA210506.105,V3,0
BA210506.106,root,19785
BA210506.106,Bacteria,7378
BA210506.106,HNA_Bacteria,4110
BA210506.106,LNA_Bacteria,3268
BA210506.106,Viruses,7667
BA210506.106,V1,0
BA210506.106,V2,4404
BA210506.106,V3,2888
BA210506.107,root,21975
BA210506.107,Bacteria,7805
BA210506.107,HNA_Bacteria,4405
BA210506.107,LNA_Bacteria,3400
BA210506.107,Viruses,7960
BA210506.107,V1,1
BA210506.107,V2,4506
BA210506.107,V3,2969
BA210506.108,root,23010
BA210506.108,Bacteria,8142
BA210506.108,HNA_Bacteria,4446
BA210506.108,LNA_Bacteria,3696
BA210506.108,Viruses,8726
BA210506.108,V1,0
BA210506.108,V2,4950
BA210506.108,V3,3210
BA210506.109,root,22125
BA210506.109,Bacteria,9133
BA210506.109,HNA_Bacteria,5179
BA210506.109,LNA_Bacteria,3954
BA210506.109,Viruses,9614
BA210506.109,V1,0
BA210506.109,V2,5531
BA210506.109,V3,3445
BA210506.110,root,24435
BA210506.110,Bacteria,9654
BA210506.110,HNA_Bacteria,5274
BA210506.110,LNA_Bacteria,4380
BA210506.110,Viruses,9842
BA210506.110,V1,0
BA210506.110,V2,5827
BA210506.110,V3,3398
BA210506.111,root,28470
BA210506.111,Bacteria,9013
BA210506.111,HNA_Bacteria,4659
BA210506.111,LNA_Bacteria,4354
BA210506.111,Viruses,12234
BA210506.111,V1,0
BA210506.111,V2,5997
BA210506.111,V3,4458
BA210506.112,root,30045
BA210506.112,Bacteria,7503
BA210506.112,HNA_Bacteria,3906
BA210506.112,LNA_Bacteria,3597
BA210506.112,Viruses,17081
BA210506.112,V1,0
BA210506.112,V2,10994
BA210506.112,V3,5448
BA210506.113,root,29940
BA210506.113,Bacteria,7557
BA210506.113,HNA_Bacteria,4009
BA210506.113,LNA_Bacteria,3548
BA210506.113,Viruses,17974
