Location,Station_Number,Bacterial_Sample_Name,Viral_Sample_Name,Expt_Date,Total_Bacteria,HNA,LNA,Total_Viruses,V1,V2,V3,VBR,Latitude,Longitude,Depth,TON,Nitrite,Phosphate,Silicate,Nitrate,Temperature,Salinity
NJ2020,1,BA210507.066,VI210507.067,04-08-20,3454942.339,1993729.952,1461212.388,182285832,140810684.8,33328040.06,8147107.096,52.76088978,53.0017719,4.78901453,1,1.74,0.25,0.18,0,1.48,21,22.16666667
NJ2020,2,BA210507.067,VI210507.068,06-08-20,3231054.366,2038118.073,1192936.293,204686985.2,161552701,34950477.76,8183806.45,63.3499044,53.0017719,4.78901453,1,1.63,0.23,0.29,0.36,1.4,21.7,22.2
NJ2020,3,BA210507.068,VI210507.069,18-08-20,6665980.231,3740874.385,2925105.846,226495057.7,191800794.8,26766126.83,7928136.012,33.97775718,53.0017719,4.78901453,1,1.16,0.21,1.06,0.27,0.95,21.7,22.3
NJ2020,4,ba201028.015,vi201028.008,20-08-20,8163509.061,3911664.265,4251844.796,183418451.4,153581029.7,22152025.2,7685396.498,22.4680894,53.0017719,4.78901453,1,0.57,0.12,0.53,1.24,0.45,22.3,22.4
NJ2020,5,BA210507.069,VI210507.070,01-09-20,3297775.947,1775345.529,1522430.418,137359967.1,111715890.5,22360924.87,3283151.667,41.65230423,53.0017719,4.78901453,1,1.01,0.14,0.22,0.99,0.86,18.2,44.8
NJ2020,6,BA210507.070,VI210507.071,03-09-20,4702883.031,2332420.505,2370462.526,153088962.1,122845569,25154252.84,5089140.28,32.55215175,53.0017719,4.78901453,1,1.54,0.32,0.32,0.95,1.22,17.2,22.53333333
NJ2020,7,BA210507.071,VI210507.072,05-09-20,3599258.649,1837173.06,1762085.589,133369028,107261385.6,22336907.1,3770735.308,37.0545829,53.0017719,4.78901453,1,1.25,0.28,0.26,1.03,0.97,18.2,22.6
PE477,1,BA210507.029,VI210507.038,16-09-20,1053212.521,601835.7261,451376.7945,33559719.93,23971546.85,8282416.771,1305756.316,31.86414829,53.356861,3.418833,7,0.26,0,0.15,0,0.26,17.2,34.3
PE477,2,BA210507.030,VI210507.039,17-09-20,1314415.157,910036.5904,404378.5661,20867792.42,15834291.66,4686580.283,346920.4785,15.87610453,53.827278,2.285889,7,0.1,0,0.17,0,0.11,15.8,34.5
PE477,3,BA210507.017,VI210507.026,18-09-20,709843.4926,416030.0122,293813.4804,36558484.35,26798754.15,8609647.428,1150082.773,51.50217581,54.464889,0.884639,15,1.76,0.2,0.3,0,1.57,NA,NA
PE477,3,BA210507.018,VI210507.027,18-09-20,777800.659,442729.0735,335071.5855,34008237.23,24419951.79,8367628.188,1220657.257,43.72359015,54.464889,0.884639,30,0.79,0.08,0.23,0,0.71,NA,NA
PE477,3,BA210507.016,VI210507.025,18-09-20,722446.458,429122.3322,293324.1258,37050247.12,26515367.97,9230582.528,1304296.616,51.28441936,54.464889,0.884639,7,0.5,0.06,0.19,0,0.44,NA,NA
PE477,4,BA210507.020,VI210507.029,19-09-20,632495.8814,361179.3421,271316.5393,33649917.63,25765626.77,6870984.932,1013305.927,53.20179723,54.414083,0.084694,15,2.36,0.12,0.29,0.44,2.24,13.2,34.6
PE477,4,BA210507.021,VI210507.030,19-09-20,629283.3608,341427.5747,287855.7861,34603789.13,26855993.93,6782160.902,965634.2993,54.98920086,54.414083,0.084694,30,3.15,0.14,0.34,0.64,3.01,12,34.4
PE477,4,BA210507.019,VI210507.028,19-09-20,867009.8847,583768.5467,283241.338,39775947.28,29932416.37,8608210.261,1235320.651,45.87715548,54.414083,0.084694,7,0.75,0.1,0.19,0.15,0.65,13.2,34.2
PE477,5,BA210507.023,VI210507.032,20-09-20,1646416.804,982168.524,664248.2799,52396210.87,37915421.25,12238241.14,2242548.481,31.82439024,55.045472,1.233139,15,0.14,0.03,0.19,0,0.11,14.2,34.3
PE477,5,BA210507.024,VI210507.033,20-09-20,1445757.825,836627.6703,609130.155,45197693.57,32979471.96,10506836.9,1711384.719,31.26228527,55.045472,1.233139,30,2.46,0.4,0.31,0.06,2.06,13.6,34.3
PE477,5,BA210507.022,VI210507.031,20-09-20,1562891.269,913724.4827,649166.7858,54172981.88,39436826.24,12473195.1,2262960.537,34.66202862,55.045472,1.233139,7,0.14,0.03,0.18,0,0.11,14.2,34.3
PE477,6,BA210507.006,VI210507.010,21-09-20,869357.4959,468495.3229,400862.173,35762767.71,24658439.65,9405540.047,1698788.017,41.13700966,55.549833,1.346333,15,0.02,0,0.05,0,0.03,16.3,34.6
PE477,6,BA210507.007,VI210507.011,21-09-20,696622.7348,375825.8679,320796.8669,24857495.88,17428818.95,6261811.94,1166864.99,35.68286626,55.549833,1.346333,30,5.01,0,0.45,1.18,5,16.3,34.6
PE477,6,BA210507.005,VI210507.009,21-09-20,865156.5074,460347.1858,404809.3216,36079077.43,24830681.41,9534764.345,1713631.674,41.70237075,55.549833,1.346333,7,0.79,0,0.12,0,0.79,16.3,34.8
PE477,7,BA210507.010,VI210507.014,22-09-20,1198023.064,735554.5566,462468.5077,55025535.42,38395492.22,13347859.17,3282184.023,45.93028053,54.923556,3.701306,15,0,0,0.09,0,0.02,16.1,34.8
PE477,7,BA210507.011,VI210507.015,22-09-20,1178747.941,691100.8559,487647.0848,54002471.17,37187679.04,13654887.28,3159904.85,45.81341719,54.923556,3.701306,30,0.05,0,0.12,0,0.06,16.1,34.8
PE477,7,BA210507.009,VI210507.012,22-09-20,1187149.918,723450.345,463699.5727,54155683.69,37778323.02,13342704.68,3034655.995,45.6182348,54.923556,3.701306,7,0.23,0,0.14,0,0.24,16.1,34.8
PE486,1,BA210506.107,VI210506.095,14-04-21,964003.2949,544065.9211,419937.3738,23256795.72,18296608.1,4425358.228,534829.3902,24.1252243,53.677278,4.131944,15,4.47,0.1,0.3,0.305,4.37,6.1,34.1
PE486,1,BA210506.108,VI210506.096,14-04-21,1005642.504,549138.6113,456503.8928,27487438.22,22539961.36,4385317.714,562159.1421,27.33321047,53.677278,4.131944,30,3.88,0.09,0.26,0.22,3.79,6.1,34.1
PE486,1,BA210506.106,VI210506.094,14-04-21,911243.8221,507618.8816,403624.9404,20372940.69,15389386.06,4455441.334,528113.2943,22.35728814,53.677278,4.131944,7,6.03,0.11,0.34,0.42,5.92,6.1,34.1
PE486,2,BA210506.110,VI210506.098,15-04-21,1192462.932,651444.9457,541017.9868,33907537.07,28243689.23,5045057.77,618790.0664,28.43487721,54.469083,4.222222,15,1.74,0.06,0.12,0.075,1.68,6.4,34.2
PE486,2,BA210506.111,VI210506.099,15-04-21,1113261.944,575467.369,537794.575,28650123.56,22423910.2,5487894.192,738319.1708,25.73529412,54.469083,4.222222,30,3.43,0.075,0.2,0.385,3.355,6,34.2
PE486,2,BA210506.109,VI210506.097,15-04-21,1128088.962,639699.1936,488389.7686,22428953.87,16790112.85,4964259.372,674581.6519,19.8822563,54.469083,4.222222,7,1.245,0.06,0.08,-0.11,1.19,6.5,34.2
PE486,3,BA210506.113,VI210506.101,16-04-21,933360.7908,495149.3199,438211.4709,41497734.76,30883969.9,10039852.33,573912.5384,44.4605507,54.992528,1.959,15,0.08,-0.02,0.13,-1.48,0.095,6,34.1
PE486,3,BA210506.112,VI210506.100,16-04-21,926688.6326,482426.4693,444262.1633,42011738.06,31329704.3,10118805.83,563227.9288,45.33533333,54.992528,1.959,7,-0.075,-0.02,0.11,-1.495,-0.06,6,34.1
PE486,4,BA210506.131,VI210506.119,18-04-21,791453.8715,432835.9837,358617.8878,12963138.39,8853204.83,3723394.699,386538.8565,16.37889314,55.273417,0.762167,15,3.4,0.09,0.3,-1.1,3.31,7,34.2
PE486,4,BA210506.132,VI210506.120,18-04-21,708051.8946,357113.0239,350938.8707,12808690.28,8759397,3666541.065,382752.2144,18.0900445,55.273417,0.762167,30,3.9,0.11,0.34,-1.165,3.795,7,34.2
PE486,4,BA210506.130,VI210506.118,18-04-21,794913.5091,436294.7689,358618.7401,13643945.63,9457040.466,3806586.126,380319.0421,17.16406311,55.273417,0.762167,7,3.665,0.09,0.3,-1.115,3.575,7.1,34.2
PE486,5,BA210506.134,VI210506.122,19-04-21,733752.0593,367863.9153,365888.144,17186367.38,11782008.71,4927503.495,476855.177,23.42258146,54.019417,2.08925,15,2.175,0.08,0.3,-1.005,2.1,7,34.2
PE486,5,BA210506.133,VI210506.121,19-04-21,759699.341,379602.6941,380096.6469,18433072.49,12775866.5,5101783.842,555422.1465,24.26364154,54.019417,2.08925,7,2.095,0.08,0.3,-1.01,2.015,7,34.2
PE486,6,BA210506.135,VI210506.123,20-04-21,1136799.835,623733.0691,513066.7662,39110584.84,27582750.44,10683721.06,844113.3419,34.40410847,54.974778,1.514028,15,0.02,-0.02,0.12,-1.45,0.04,6,34.2
PE486,6,BA210506.136,VI210506.124,20-04-21,1253191.928,676372.8558,576819.0717,39722199.34,28477558.65,10426478.38,818162.3085,31.69682031,54.974778,1.514028,7,0.005,-0.015,0.12,-1.45,0.015,6,34.2
PE486,7,BA210506.156,VI210506.143,21-04-21,1185481.878,664818.5337,520663.3444,41009060.96,30370841.35,9811132.15,827087.4587,34.59273542,54.970917,1.493556,15,-0.07,-0.01,0.12,-1.43,-0.055,7,34.3
PE486,7,BA210506.157,VI210506.144,21-04-21,1253562.603,745121.1688,508441.4342,43081136.74,32441632.03,9762093.326,877411.3841,34.36696072,54.970917,1.493556,30,-0.075,-0.015,0.12,-1.425,-0.055,7,34.3
PE486,7,BA210506.155,VI210506.142,21-04-21,1153356.672,607621.4491,545735.223,38603377.27,28580845.83,9321771.003,700760.4361,33.47045905,54.970917,1.493556,7,-0.09,-0.015,0.1,-1.44,-0.08,7,34.3
PE486,8,BA210506.161,VI210506.148,22-04-21,829015.6507,439210.3179,389805.3328,17881383.86,12792735.51,4608906.652,479741.6917,21.5694165,54.102694,1.151583,15,1.515,0.06,0.36,-1.42,1.455,7,34.2
PE486,8,BA210506.159,VI210506.146,22-04-21,830869.028,431676.4164,399192.6116,26830724.88,21462022.82,4839851.775,528850.2781,32.29236374,54.102694,1.151583,30,2.025,0.09,0.26,-1.42,1.935,7,34.2
PE486,8,BA210506.158,VI210506.145,22-04-21,966042.0099,535948.8916,430093.1183,25598846.79,20033325.79,4944296.663,621224.3346,26.49868901,54.102694,1.151583,7,1.37,0.05,0.22,-1.42,1.32,7,34.2
