"Overlay","Filename","Overlay_Gate","Gate","Total_Events","percent_gated_cells","percent_all_cells"
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs compensated","Gate 2","None",34400,100,61.73
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs compensated","Gate 2","None",41407,100,91.34
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs compensated","Gate 2","None",42135,100,88.07
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs compensated","Gate 2","None",42637,100,85.36
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs compensated","Gate 2","None",21689,100,61.46
1,"Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs compensated","Gate 2","None",19008,100,61.01
1,"Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs compensated","Gate 2","None",10334,100,61.63
1,"Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs compensated","Gate 2","None",9435,100,51.01
1,"Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs compensated","Gate 2","None",16209,100,83.38
1,"Cruise_NorthSea_PE477_Algae_PE477_4_30m.fcs compensated","Gate 2","None",11502,100,84.69
1,"Cruise_NorthSea_PE477_Algae_PE477_5_7m.fcs compensated","Gate 2","None",119185,100,71.36
1,"Cruise_NorthSea_PE477_Algae_PE477_5_15m.fcs compensated","Gate 2","None",118717,100,70.62
1,"Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs compensated","Gate 2","None",37675,100,70.72
1,"Cruise_NorthSea_PE477_Algae_PE477_6_7m.fcs compensated","Gate 2","None",103519,100,84.38
1,"Cruise_NorthSea_PE477_Algae_PE477_6_15m.fcs compensated","Gate 2","None",105291,100,84.5
1,"Cruise_NorthSea_PE477_Algae_PE477_6_30m.fcs compensated","Gate 2","None",29896,100,82.08
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","Gate 2","None",237704,100,86.18
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle11.fcs compensated","Gate 2","None",229400,100,86.85
1,"Cruise_NorthSea_PE477_Algae_PE477_7_15m.fcs compensated","Gate 2","None",235215,100,86.75
1,"Cruise_NorthSea_PE477_Algae_PE477_7_30m.fcs compensated","Gate 2","None",193117,100,88.22
1,"Cruise_NorthSea_PE486_Algae_PE486_1_7m.fcs compensated","Gate 2","None",5636,100,51.41
1,"Cruise_NorthSea_PE486_Algae_PE486_1_15m.fcs compensated","Gate 2","None",6748,100,51.11
1,"Cruise_NorthSea_PE486_Algae_PE486_1_30m.fcs compensated","Gate 2","None",6759,100,55.75
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs compensated","Gate 2","None",3299,100,30.09
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m_SSC425.fcs compensated","Gate 2","None",3306,100,30.46
1,"Cruise_NorthSea_PE486_Algae_PE486_2_15m.fcs compensated","Gate 2","None",3476,100,34.98
1,"Cruise_NorthSea_PE486_Algae_PE486_2_30m.fcs compensated","Gate 2","None",2689,100,43.49
1,"Cruise_NorthSea_PE486_Algae_PE486_3_7m.fcs compensated","Gate 2","None",6793,100,77.41
1,"Cruise_NorthSea_PE486_Algae_PE486_3_15m.fcs compensated","Gate 2","None",9404,100,84.33
1,"Cruise_NorthSea_PE486_Algae_PE486_4_7m.fcs compensated","Gate 2","None",3483,100,22.47
1,"Cruise_NorthSea_PE486_Algae_PE486_4_15m.fcs compensated","Gate 2","None",3371,100,20.77
1,"Cruise_NorthSea_PE486_Algae_PE486_4_30m.fcs compensated","Gate 2","None",2243,100,32.07
1,"Cruise_NorthSea_PE486_Algae_PE486_4_xm_Run3.fcs compensated","Gate 2","None",3554,100,22.42
1,"Cruise_NorthSea_PE486_Algae_PE486_4_ym.fcs compensated","Gate 2","None",2356,100,32.56
1,"Cruise_NorthSea_PE486_Algae_PE486_4_zm.fcs compensated","Gate 2","None",3340,100,21.86
1,"Cruise_NorthSea_PE486_Algae_PE486_5_7m.fcs compensated","Gate 2","None",3586,100,47.95
1,"Cruise_NorthSea_PE486_Algae_PE486_5_15m.fcs compensated","Gate 2","None",3554,100,47.87
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7_8m.fcs compensated","Gate 2","None",1585,100,26.81
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7_8m_Run2.fcs compensated","Gate 2","None",1723,100,29.27
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","Gate 2","None",1880,100,17.67
1,"Cruise_NorthSea_PE486_Algae_PE486_6_15m.fcs compensated","Gate 2","None",1677,100,26.43
1,"Cruise_NorthSea_PE486_Algae_PE486_7_7m.fcs compensated","Gate 2","None",2565,100,16.75
1,"Cruise_NorthSea_PE486_Algae_PE486_7_15m.fcs compensated","Gate 2","None",6393,100,41.98
1,"Cruise_NorthSea_PE486_Algae_PE486_7_30m.fcs compensated","Gate 2","None",10508,100,60.91
1,"Cruise_NorthSea_PE486_Algae_PE486_8_2m.fcs compensated","Gate 2","None",5559,100,26
1,"Cruise_NorthSea_PE486_Algae_PE486_8_7m.fcs compensated","Gate 2","None",5325,100,25.58
1,"Cruise_NorthSea_PE486_Algae_PE486_8_15m.fcs compensated","Gate 2","None",4751,100,26.95
1,"Cruise_NorthSea_PE486_Algae_PE486_8_20m.fcs compensated","Gate 2","None",3535,100,46.76
1,"Cruise_NorthSea_PE486_Algae_PE486_8_30m.fcs compensated","Gate 2","None",3789,100,46.16
1,"Cruise_NorthSea_PE486_Algae_PE486_8_40m.fcs compensated","Gate 2","None",4017,100,46.93
1,"Cruise_NorthSea_PE486_Algae_PE486_8_45_8m.fcs compensated","Gate 2","None",4609,100,43.22
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs compensated","Gate 2","Gate 14",32687,95.02,58.65
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs compensated","Gate 2","Gate 14",40274,97.26,88.84
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs compensated","Gate 2","Gate 14",40871,97,85.43
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs compensated","Gate 2","Gate 14",41145,96.5,82.37
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs compensated","Gate 2","Gate 14",20674,95.32,58.58
1,"Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs compensated","Gate 2","Gate 14",18150,95.49,58.25
1,"Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs compensated","Gate 2","Gate 14",9562,92.53,57.03
1,"Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs compensated","Gate 2","Gate 14",8726,92.49,47.18
1,"Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs compensated","Gate 2","Gate 14",15584,96.14,80.16
1,"Cruise_NorthSea_PE477_Algae_PE477_4_30m.fcs compensated","Gate 2","Gate 14",10970,95.37,80.77
1,"Cruise_NorthSea_PE477_Algae_PE477_5_7m.fcs compensated","Gate 2","Gate 14",115922,97.26,69.41
1,"Cruise_NorthSea_PE477_Algae_PE477_5_15m.fcs compensated","Gate 2","Gate 14",115493,97.28,68.7
1,"Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs compensated","Gate 2","Gate 14",36335,96.44,68.21
1,"Cruise_NorthSea_PE477_Algae_PE477_6_7m.fcs compensated","Gate 2","Gate 14",102448,98.97,83.5
1,"Cruise_NorthSea_PE477_Algae_PE477_6_15m.fcs compensated","Gate 2","Gate 14",104200,98.96,83.62
1,"Cruise_NorthSea_PE477_Algae_PE477_6_30m.fcs compensated","Gate 2","Gate 14",29130,97.44,79.98
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","Gate 2","Gate 14",235494,99.07,85.38
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle11.fcs compensated","Gate 2","Gate 14",227195,99.04,86.01
1,"Cruise_NorthSea_PE477_Algae_PE477_7_15m.fcs compensated","Gate 2","Gate 14",233116,99.11,85.98
1,"Cruise_NorthSea_PE477_Algae_PE477_7_30m.fcs compensated","Gate 2","Gate 14",191429,99.13,87.44
1,"Cruise_NorthSea_PE486_Algae_PE486_1_7m.fcs compensated","Gate 2","Gate 14",4683,83.09,42.72
1,"Cruise_NorthSea_PE486_Algae_PE486_1_15m.fcs compensated","Gate 2","Gate 14",5227,77.46,39.59
1,"Cruise_NorthSea_PE486_Algae_PE486_1_30m.fcs compensated","Gate 2","Gate 14",5277,78.07,43.53
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs compensated","Gate 2","Gate 14",2614,79.24,23.85
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m_SSC425.fcs compensated","Gate 2","Gate 14",2564,77.56,23.62
1,"Cruise_NorthSea_PE486_Algae_PE486_2_15m.fcs compensated","Gate 2","Gate 14",2820,81.13,28.38
1,"Cruise_NorthSea_PE486_Algae_PE486_2_30m.fcs compensated","Gate 2","Gate 14",2165,80.51,35.02
1,"Cruise_NorthSea_PE486_Algae_PE486_3_7m.fcs compensated","Gate 2","Gate 14",620,9.13,7.07
1,"Cruise_NorthSea_PE486_Algae_PE486_3_15m.fcs compensated","Gate 2","Gate 14",604,6.42,5.42
