"Overlay","Filename","Gate","Total_Events","SSCA_geometric_mean","FL_geometric_mean","percent_gated_cells","percent_all_cells","Location","Station_Number","Depth","Acquisition_Duration","Flow_Rate","cells_per_mL"
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs","total_phyto",54868,"##ERROR##","794.98",98.46,98.46,"PE477","1","7",10,129,42533.3333333333
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs","total_phyto",44837,"##ERROR##","802.95",98.91,98.91,"PE477","2","7",10,129,34757.3643410853
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs","total_phyto",46323,"##ERROR##","769.54",96.82,96.82,"PE477","2","15",10,129,35909.3023255814
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs","total_phyto",46617,"##ERROR##","754.2",93.33,93.33,"PE477","2","30",10,129,36137.2093023256
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs","total_phyto",34951,"##ERROR##","922.56",99.04,99.04,"PE477","3","7",10,129,27093.7984496124
1,"Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs","total_phyto",30726,"##ERROR##","949.38",98.61,98.61,"PE477","3","15",10,129,23818.6046511628
1,"Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs","total_phyto",14283,"##ERROR##","1329.79",85.19,85.19,"PE477","3","30",9,129,12302.3255813953
1,"Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs","total_phyto",18121,"##ERROR##","1050.96",97.98,97.98,"PE477","4","7",10,129,14047.2868217054
1,"Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs","total_phyto",18759,"##ERROR##","715.37",96.5,96.5,"PE477","4","15",10,129,14541.8604651163
1,"Cruise_NorthSea_PE477_Algae_PE477_4_30m.fcs","total_phyto",12859,"##ERROR##","900.49",94.68,94.68,"PE477","4","30",10,129,9968.21705426356
1,"Cruise_NorthSea_PE477_Algae_PE477_5_7m.fcs","total_phyto",166349,"198.5","755.03",99.6,99.6,"PE477","5","7",10,129,128952.713178295
1,"Cruise_NorthSea_PE477_Algae_PE477_5_15m.fcs","total_phyto",167429,"200.79","732.81",99.6,99.6,"PE477","5","15",10,129,129789.92248062
1,"Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs","total_phyto",52186,"##ERROR##","1101.12",97.96,97.96,"PE477","5","30",10,129,40454.2635658915
