"Overlay","Filename","Overlay_Gate","Gate","Total_Events","percent_gated_cells","percent_all_cells","Location","Station_Number","Depth","Location_Station","Acquisition_Duration","Flow_Rate","cells_per_mL"
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs compensated","2","0",34400,100,61.73,"PE477",1,7,"PE477_1",10,129,26666.6666666667
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs compensated","2","0",41407,100,91.34,"PE477",2,7,"PE477_2",10,129,32098.4496124031
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs compensated","2","0",42135,100,88.07,"PE477",2,15,"PE477_2",10,129,32662.7906976744
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs compensated","2","0",42637,100,85.36,"PE477",2,30,"PE477_2",10,129,33051.9379844961
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs compensated","2","0",21689,100,61.46,"PE477",3,7,"PE477_3",10,129,16813.1782945736
1,"Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs compensated","2","0",19008,100,61.01,"PE477",3,15,"PE477_3",10,129,14734.8837209302
1,"Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs compensated","2","0",10334,100,61.63,"PE477",3,30,"PE477_3",9,129,8900.94745908699
1,"Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs compensated","2","0",9435,100,51.01,"PE477",4,7,"PE477_4",10,129,7313.95348837209
1,"Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs compensated","2","0",16209,100,83.38,"PE477",4,15,"PE477_4",10,129,12565.1162790698
1,"Cruise_NorthSea_PE477_Algae_PE477_4_30m.fcs compensated","2","0",11502,100,84.69,"PE477",4,30,"PE477_4",10,129,8916.27906976744
1,"Cruise_NorthSea_PE477_Algae_PE477_5_7m.fcs compensated","2","0",119185,100,71.36,"PE477",5,7,"PE477_5",10,129,92391.4728682171
1,"Cruise_NorthSea_PE477_Algae_PE477_5_15m.fcs compensated","2","0",118717,100,70.62,"PE477",5,15,"PE477_5",10,129,92028.6821705426
1,"Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs compensated","2","0",37675,100,70.72,"PE477",5,30,"PE477_5",10,129,29205.4263565891
1,"Cruise_NorthSea_PE477_Algae_PE477_6_7m.fcs compensated","2","0",103519,100,84.38,"PE477",6,7,"PE477_6",10,129,80247.2868217054
1,"Cruise_NorthSea_PE477_Algae_PE477_6_15m.fcs compensated","2","0",105291,100,84.5,"PE477",6,15,"PE477_6",10,129,81620.9302325581
1,"Cruise_NorthSea_PE477_Algae_PE477_6_30m.fcs compensated","2","0",29896,100,82.08,"PE477",6,30,"PE477_6",10,129,23175.1937984496
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","2","0",237704,100,86.18,"PE477",7,7,"PE477_7",10,129,184266.666666667
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","2","0",237704,100,86.18,"PE477",7,7,"PE477_7",10,129,184266.666666667
1,"Cruise_NorthSea_PE477_Algae_PE477_7_15m.fcs compensated","2","0",235215,100,86.75,"PE477",7,15,"PE477_7",10,129,182337.209302326
1,"Cruise_NorthSea_PE477_Algae_PE477_7_30m.fcs compensated","2","0",193117,100,88.22,"PE477",7,30,"PE477_7",10,129,149703.100775194
1,"Cruise_NorthSea_PE486_Algae_PE486_1_7m.fcs compensated","2","0",5636,100,51.41,"PE486",1,7,"PE486_1",10,107,5267.28971962617
1,"Cruise_NorthSea_PE486_Algae_PE486_1_15m.fcs compensated","2","0",6748,100,51.11,"PE486",1,15,"PE486_1",10,107,6306.54205607477
1,"Cruise_NorthSea_PE486_Algae_PE486_1_30m.fcs compensated","2","0",6759,100,55.75,"PE486",1,30,"PE486_1",10,107,6316.82242990654
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs compensated","2","0",3299,100,30.09,"PE486",2,7,"PE486_2",10,107,3083.17757009346
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs compensated","2","0",3299,100,30.09,"PE486",2,7,"PE486_2",10,107,3083.17757009346
1,"Cruise_NorthSea_PE486_Algae_PE486_2_15m.fcs compensated","2","0",3476,100,34.98,"PE486",2,15,"PE486_2",10,107,3248.59813084112
1,"Cruise_NorthSea_PE486_Algae_PE486_2_30m.fcs compensated","2","0",2689,100,43.49,"PE486",2,30,"PE486_2",10,107,2513.08411214953
1,"Cruise_NorthSea_PE486_Algae_PE486_3_7m.fcs compensated","2","0",6793,100,77.41,"PE486",3,7,"PE486_3",10,107,6348.59813084112
1,"Cruise_NorthSea_PE486_Algae_PE486_3_15m.fcs compensated","2","0",9404,100,84.33,"PE486",3,15,"PE486_3",10,107,8788.78504672897
1,"Cruise_NorthSea_PE486_Algae_PE486_4_7m.fcs compensated","2","0",3483,100,22.47,"PE486",4,7,"PE486_4",10,107,3255.14018691589
1,"Cruise_NorthSea_PE486_Algae_PE486_4_15m.fcs compensated","2","0",3371,100,20.77,"PE486",4,15,"PE486_4",10,107,3150.46728971963
1,"Cruise_NorthSea_PE486_Algae_PE486_4_30m.fcs compensated","2","0",2243,100,32.07,"PE486",4,30,"PE486_4",10,107,2096.26168224299
1,"Cruise_NorthSea_PE486_Algae_PE486_5_7m.fcs compensated","2","0",3586,100,47.95,"PE486",5,7,"PE486_5",10,107,3351.40186915888
1,"Cruise_NorthSea_PE486_Algae_PE486_5_15m.fcs compensated","2","0",3554,100,47.87,"PE486",5,15,"PE486_5",10,107,3321.4953271028
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","2","0",1880,100,17.67,"PE486",6,7,"PE486_6",10,107,1757.00934579439
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","2","0",1880,100,17.67,"PE486",6,7,"PE486_6",10,107,1757.00934579439
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","2","0",1880,100,17.67,"PE486",6,7,"PE486_6",10,107,1757.00934579439
1,"Cruise_NorthSea_PE486_Algae_PE486_6_15m.fcs compensated","2","0",1677,100,26.43,"PE486",6,15,"PE486_6",10,107,1567.28971962617
1,"Cruise_NorthSea_PE486_Algae_PE486_7_7m.fcs compensated","2","0",2565,100,16.75,"PE486",7,7,"PE486_7",10,107,2397.19626168224
1,"Cruise_NorthSea_PE486_Algae_PE486_7_15m.fcs compensated","2","0",6393,100,41.98,"PE486",7,15,"PE486_7",10,107,5974.76635514019
1,"Cruise_NorthSea_PE486_Algae_PE486_7_30m.fcs compensated","2","0",10508,100,60.91,"PE486",7,30,"PE486_7",10,107,9820.56074766355
1,"Cruise_NorthSea_PE486_Algae_PE486_8_7m.fcs compensated","2","0",5325,100,25.58,"PE486",8,7,"PE486_8",10,107,4976.63551401869
1,"Cruise_NorthSea_PE486_Algae_PE486_8_15m.fcs compensated","2","0",4751,100,26.95,"PE486",8,15,"PE486_8",10,107,4440.18691588785
1,"Cruise_NorthSea_PE486_Algae_PE486_8_30m.fcs compensated","2","0",3789,100,46.16,"PE486",8,30,"PE486_8",10,107,3541.1214953271
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs compensated","2","14",32687,95.02,58.65,"PE477",1,7,"PE477_1",10,129,25338.7596899225
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs compensated","2","14",40274,97.26,88.84,"PE477",2,7,"PE477_2",10,129,31220.1550387597
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs compensated","2","14",40871,97,85.43,"PE477",2,15,"PE477_2",10,129,31682.9457364341
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs compensated","2","14",41145,96.5,82.37,"PE477",2,30,"PE477_2",10,129,31895.3488372093
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs compensated","2","14",20674,95.32,58.58,"PE477",3,7,"PE477_3",10,129,16026.3565891473
1,"Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs compensated","2","14",18150,95.49,58.25,"PE477",3,15,"PE477_3",10,129,14069.7674418605
1,"Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs compensated","2","14",9562,92.53,57.03,"PE477",3,30,"PE477_3",9,129,8236.00344530577
1,"Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs compensated","2","14",8726,92.49,47.18,"PE477",4,7,"PE477_4",10,129,6764.34108527132
1,"Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs compensated","2","14",15584,96.14,80.16,"PE477",4,15,"PE477_4",10,129,12080.6201550388
