"Location","Station_Number","Bacterial_Sample_Name","Viral_Sample_Name","Expt_Date","Total_Bacteria","HNA","LNA","Total_Viruses","V1","V2","V3","VBR","Latitude","Longitude","Depth","TON","Nitrite","Phosphate","Silicate","Nitrate","Temperature","Salinity","Location_Station_Number","Station","Fraction_HNA","Fraction_V1","Fraction_V2","Fraction_V3"
"NJ2020",1,"BA210507.066","VI210507.067",2020-08-04,3454942.33937397,1993729.95163188,1461212.38774209,182285831.960461,140810684.800918,33328040.063183,8147107.09636019,52.7608897789858,53.0017718995784,4.78901453000596,1,1.74,0.25,0.18,0.03555,1.49,21,22.1666666666667,"NJ2020_1","NJ-1",0.57706605661996,0.77247191011236,0.182833957553059,0.0446941323345818
"NJ2020",2,"BA210507.067","VI210507.068",2020-08-06,3231054.36573311,2038118.07262113,1192936.29311198,204686985.172982,161552700.965049,34950477.7576252,8183806.45030764,63.3499043977056,53.0017718995784,4.78901453000596,1,1.63,0.23,0.29,0.36,1.4,21.7,22.2,"NJ2020_2","NJ-2",0.630790399021556,0.789267089104469,0.170750855156171,0.0399820557393596
"NJ2020",3,"BA210507.068","VI210507.069",2020-08-18,6665980.2306425,3740874.38486357,2925105.84577894,226495057.660626,191800794.822724,26766126.8263093,7928136.01159248,33.9777571825765,53.0017718995784,4.78901453000596,1,1.16,0.21,1.06,0.27,0.95,21.7,22.3,"NJ2020_3","NJ-3",0.561188940775332,0.846821104194305,0.118175324012654,0.0350035717930401
"NJ2020",4,"ba201028.015","vi201028.008",2020-08-20,8163509.06095552,3911664.26500633,4251844.79594919,183418451.40033,153581029.70319,22152025.1993912,7685396.49774796,22.4680894001312,53.0017718995784,4.78901453000596,1,0.57,0.12,0.53,1.24,0.45,22.3,22.4,"NJ2020_4","NJ-4",0.479164564625164,0.837325953472282,0.120773155755427,0.0419008907722909
"NJ2020",5,"BA210507.069","VI210507.070",2020-09-01,3297775.94728171,1775345.52943836,1522430.41784336,137359967.051071,111715890.515051,22360924.868779,3283151.66724136,41.6523042337954,53.0017718995784,4.78901453000596,1,1.01,0.14,0.22,0.99,0.87,18.2,22.4,"NJ2020_5","NJ-5",0.538346315158778,0.813307493540052,0.162790697674419,0.0239018087855297
"NJ2020",6,"BA210507.070","VI210507.071",2020-09-03,4702883.03130148,2332420.50538652,2370462.52591496,153088962.108731,122845568.993892,25154252.8353221,5089140.27951703,32.552151752404,53.0017718995784,4.78901453000596,1,1.54,0.32,0.32,0.95,1.22,17.2,22.5333333333333,"NJ2020_6","NJ-6",0.495955457506041,0.802445632276488,0.164311342168851,0.0332430255546606
"NJ2020",7,"BA210507.071","VI210507.072",2020-09-05,3599258.6490939,1837173.06011258,1762085.58898133,133369028.00659,107261385.595218,22336907.103334,3770735.30803807,37.0545829042224,53.0017718995784,4.78901453000596,1,1.25,0.28,0.26,1.03,0.97,18.2,22.6,"NJ2020_7","NJ-7",0.510430963491628,0.804245087472017,0.16748196666943,0.0282729458585524
"PE477",1,"BA210507.029","VI210507.038",2020-09-16,1053212.52059308,601835.726053189,451376.794539892,33559719.9341021,23971546.8462301,8282416.77146655,1305756.31640554,31.8641482871891,53.356861,3.418833,7,0.26,0.01965,0.15,0.03555,0.24035,17.2,34.3,"PE477_1","1",0.571428571428572,0.714295199521944,0.246796361463382,0.0389084390146737
"PE477",2,"BA210507.030","VI210507.039",2020-09-17,1314415.15650741,910036.590360307,404378.566147106,20867792.4217463,15834291.6602692,4686580.28292922,346920.478547923,15.8761045309269,53.827278,2.285889,7,0.1,0.01965,0.17,0.03555,0.08035,15.8,34.5,"PE477_2","2",0.692350956130484,0.758790931989924,0.224584382871536,0.016624685138539
"PE477",3,"BA210507.017","VI210507.026",2020-09-18,709843.492586491,416030.012176778,293813.480409713,36558484.3492586,26798754.1475372,8609647.42835983,1150082.77336161,51.5021758050479,54.464889,0.884639,15,1.76,0.2,0.3,0.03555,1.56,NA,NA,"PE477_3","3",0.586086956521739,0.733037887772299,0.235503401785157,0.0314587104425442
"PE477",3,"BA210507.018","VI210507.027",2020-09-18,777800.658978583,442729.073507492,335071.585471091,34008237.2322899,24419951.7867194,8367628.18818369,1220657.25738688,43.7235901509134,54.464889,0.884639,30,0.79,0.08,0.23,0.03555,0.71,NA,NA,"PE477_3","3",0.569206349206349,0.718059910601108,0.246047101207552,0.0358929881913403
"PE477",3,"BA210507.016","VI210507.025",2020-09-18,722446.457990115,429122.332189617,293324.125800498,37050247.1169687,26515367.9737221,9230582.52772321,1304296.61552337,51.2844193603557,54.464889,0.884639,7,0.5,0.06,0.19,0.03555,0.44,NA,NA,"PE477_3","3",0.593984962406015,0.715659679408138,0.249136868064118,0.0352034525277435
"PE477",4,"BA210507.020","VI210507.029",2020-09-19,632495.881383855,361179.34210171,271316.539282145,33649917.6276771,25765626.7688075,6870984.93192464,1013305.92694501,53.2017972260207,54.414083,0.084694,15,2.36,0.12,0.29,0.44,2.24,13.2,34.6,"PE477_4","4",0.57103825136612,0.765696577741849,0.204190245216923,0.0301131770412288
"PE477",4,"BA210507.021","VI210507.030",2020-09-19,629283.360790774,341427.574724849,287855.786065925,34603789.1268534,26855993.9251088,6782160.90240692,965634.299337668,54.9892008639309,54.414083,0.084694,30,3.15,0.14,0.34,0.64,3.01,12,34.4,"PE477_4","4",0.542565712043939,0.776099803020355,0.195994747209455,0.0279054497701904
"PE477",4,"BA210507.019","VI210507.028",2020-09-19,867009.884678748,583768.54667632,283241.338002428,39775947.2817133,29932416.3692441,8608210.2614526,1235320.65101667,45.8771554795497,54.414083,0.084694,7,0.75,0.1,0.19,0.15,0.65,13.2,34.2,"PE477_4","4",0.673312446596411,0.752525544074352,0.216417479651331,0.0310569762743174
"PE477",5,"BA210507.023","VI210507.032",2020-09-20,1646416.80395387,982168.524009091,664248.27994478,52396210.8731466,37915421.2519859,12238241.1397421,2242548.48141867,31.8243902439024,55.045472,1.233139,15,0.14,0.03,0.19,0.03555,0.11,14.2,34.3,"PE477_5","5",0.596549137284321,0.723629068212216,0.233571110120374,0.0427998216674097
"PE477",5,"BA210507.024","VI210507.033",2020-09-20,1445757.82537068,836627.670345204,609130.155025472,45197693.5749588,32979471.957831,10506836.8985801,1711384.71854765,31.2622852747628,55.045472,1.233139,30,2.46,0.4,0.31,0.06,2.06,13.6,34.3,"PE477_5","5",0.578677601230138,0.729671568376287,0.232464005738587,0.0378644258851258
"PE477",5,"BA210507.022","VI210507.031",2020-09-20,1562891.26853377,913724.482741651,649166.785792122,54172981.878089,39436826.2391272,12473195.1017415,2262960.53722027,34.6620286188632,55.045472,1.233139,7,0.14,0.03,0.18,0.03555,0.11,14.2,34.3,"PE477_5","5",0.584637268847795,0.727979610350339,0.23024752689101,0.0417728627586505
"PE477",6,"BA210507.006","VI210507.010",2020-09-21,869357.495881384,468495.32287986,400862.173001524,35762767.7100494,24658439.6462523,9405540.0467037,1698788.01709343,41.1370096645821,55.549833,1.346333,15,0.02,0.01965,0.05,0.03555,0.00035,16.3,34.6,"PE477_6","6",0.538898353208404,0.689500316255535,0.262998102466793,0.0475015812776724
"PE477",6,"BA210507.007","VI210507.011",2020-09-21,696622.73476112,375825.867885649,320796.866875472,24857495.8813839,17428818.9513151,6261811.93958525,1166864.99048349,35.6828662646328,55.549833,1.346333,30,5.01,0.01965,0.45,1.18,4.99035,16.3,34.6,"PE477_6","6",0.539496989018774,0.701149425287356,0.251908396946565,0.0469421777660788
