"Location_Station_Number","Depth","Measured_depth","Station","Original_station_cast","Location","Station_Number","Salinity","Temperature","Pressure","Density","Conductivity","Oxygen","Turbidity","Chlorophyll","Max_Depth","Distance"
"PE477_1",7,6.923,1,"64PE477_S00C01","PE477",1,34.3311,17.2749,6.985,1024.84996035077,44.403855,234.035,1.1929,0.2389,29.488,0.077
"PE477_1",15,14.925,1,"64PE477_S00C01","PE477",1,34.3322,17.2735,15.059,1024.88640552479,44.407289,234.353,1.1637,0.2073,29.488,0.0749999999999993
"PE477_2",7,7.024,2,"64PE477_S04C01","PE477",2,34.5196,15.8104,7.087,1025.33314229214,43.183358,235.671,0.8545,0.4281,34.494,0.024
"PE477_2",15,15.056,2,"64PE477_S04C01","PE477",2,34.5192,15.8185,15.192,1025.36662133119,43.194427,240.998,0.882,0.2888,34.494,0.0559999999999992
"PE477_2",30,30.014,2,"64PE477_S04C01","PE477",2,34.5193,15.8308,30.287,1025.43022084152,43.213186,241.454,1.6954,0.5143,34.494,0.0139999999999993
"PE477_3",7,7.328,3,"64PE477_S05C01","PE477",3,34.2962,13.4603,7.394,1025.66846669076,40.668585,247.63,0.456,0.3147,54.771,0.328
"PE477_3",15,14.759,3,"64PE477_S05C01","PE477",3,34.2963,13.4044,14.893,1025.71319128184,40.618631,247.319,0.4471,0.3205,54.771,0.241
"PE477_3",30,30.103,3,"64PE477_S05C01","PE477",3,34.318,12.7768,30.378,1025.92420802811,40.050063,233.617,0.7296,0.1036,54.771,0.103000000000002
"PE477_4",7,6.768,4,"64PE477_S07C01","PE477",4,34.1425,13.3651,6.83,1025.5676469926,40.414506,199.755,0.4968,0.733,58.878,0.232
"PE477_4",15,14.932,4,"64PE477_S07C01","PE477",4,34.1284,13.3865,15.068,1025.5891273408,40.423485,190.065,0.4923,0.3127,58.878,0.0679999999999996
"PE477_4",30,30.205,4,"64PE477_S07C01","PE477",4,34.3335,11.7995,30.48,1026.12468794751,39.13961,214.698,0.6707,0.1188,58.878,0.204999999999998
"PE477_5",7,6.92,5,"64PE477_S10C01","PE477",5,34.1527,15.6665,6.983,1025.08627447589,42.63346,163.424,0.7897,0.2685,24.731,0.0800000000000001
"PE477_5",15,14.987,5,"64PE477_S10C01","PE477",5,34.4324,15.6759,15.124,1025.33249317818,42.958374,236.533,0.82,0.2641,24.731,0.0129999999999999
"PE477_6",7,7.115,6,"64PE477_S15C01","PE477",6,34.7279,14.9361,7.18,1025.68601482026,42.559882,244.994,0.429,0.1471,79.41,0.115
"PE477_6",15,15.308,6,"64PE477_S15C01","PE477",6,34.7322,14.9569,15.448,1025.72119433026,42.588603,244.769,0.4239,0.1539,79.41,0.308
"PE477_6",30,30.01,6,"64PE477_S15C01","PE477",6,34.7357,14.9608,30.286,1025.78839317421,42.602808,244.717,0.4265,0.1604,79.41,0.0100000000000016
"PE477_7",7,6.937,7,"64PE477_S17C01","PE477",7,34.7786,16.0719,7,1025.47000853278,43.730294,238.534,0.4554,0.2287,43.764,0.0629999999999997
"PE477_7",15,15.224,7,"64PE477_S17C01","PE477",7,34.7786,16.0724,15.363,1025.50658546166,43.734418,239.106,0.4443,0.222,43.764,0.224
