Station,Depth,Original_station_cast,Expt_Date,Latitude,Longitude,Max_Depth,Temperature,Salinity,Turbidity,Chlorophyll,Oxygen,Conductivity,Density,Pressure,Measured_depth,Nitrate,Phosphate,Silicate,TON,Nitrite,Total_Phyto,Synecho,Dogger,Fraction_Syencho,Fraction_Dogger,Total_Bacteria,HNA,LNA,Fraction_HNA,Total_Viruses,V1,V2,V3,Fraction_V1,Fraction_V2,Fraction_V3,VBR,Phyto_Sample_Name,Bacterial_Sample_Name,Viral_Sample_Name,Location,Station_Number,Location_Station_Number
NJ-1,1,,2020-08-04,53.0017718995784,4.78901453000596,,21,22.1666666666667,,,,,,,,1.49,0.18,0.03555,1.74,0.25,29579.0697674419,14574.4186046512,8.52713178294574,0.492727415677333,0.000288282621799408,3454942.33937397,1993729.95163188,1461212.38774209,0.57706605661996,182285831.960461,140810684.800918,33328040.063183,8147107.09636019,0.77247191011236,0.182833957553059,0.0446941323345818,52.7608897789858,NJ_Algae_NJ_1.fcs,BA210507.066,VI210507.067,NJ2020,1,NJ2020_1
NJ-2,1,,2020-08-06,53.0017718995784,4.78901453000596,,21.7,22.2,,,,,,,,1.4,0.29,0.36,1.63,0.23,21409.3023255814,10068.2170542636,0.775193798449612,0.470273010355565,3.62082699688609e-05,3231054.36573311,2038118.07262113,1192936.29311198,0.630790399021556,204686985.172982,161552700.965049,34950477.7576252,8183806.45030764,0.789267089104469,0.170750855156171,0.0399820557393596,63.3499043977056,NJ_Algae_NJ_2.fcs,BA210507.067,VI210507.068,NJ2020,2,NJ2020_2
NJ-3,1,,2020-08-18,53.0017718995784,4.78901453000596,,21.7,22.3,,,,,,,,0.95,1.06,0.27,1.16,0.21,76712.4031007752,45051.9379844961,23.2558139534884,0.587283622510333,0.000303155852423731,6665980.2306425,3740874.38486357,2925105.84577894,0.561188940775332,226495057.660626,191800794.822724,26766126.8263093,7928136.01159248,0.846821104194305,0.118175324012654,0.0350035717930401,33.9777571825765,NJ_Algae_NJ_3.fcs,BA210507.068,VI210507.069,NJ2020,3,NJ2020_3
NJ-4,1,,2020-08-20,53.0017718995784,4.78901453000596,,22.3,22.4,,,,,,,,0.45,0.53,1.24,0.57,0.12,81290.6976744186,49104.6511627907,13.953488372093,0.604062365899013,0.000171649263338578,8163509.06095552,3911664.26500633,4251844.79594919,0.479164564625164,183418451.40033,153581029.70319,22152025.1993912,7685396.49774796,0.837325953472282,0.120773155755427,0.0419008907722909,22.4680894001312,NJ_Algae_NJ_4.fcs,ba201028.015,vi201028.008,NJ2020,4,NJ2020_4
NJ-5,1,,2020-09-01,53.0017718995784,4.78901453000596,,18.2,22.4,,,,,,,,0.87,0.22,0.99,1.01,0.14,11358.1395348837,1862.01550387597,0,0.163936663936664,0,3297775.94728171,1775345.52943836,1522430.41784336,0.538346315158778,137359967.051071,111715890.515051,22360924.868779,3283151.66724136,0.813307493540052,0.162790697674419,0.0239018087855297,41.6523042337954,NJ_Algae_NJ_5.fcs,BA210507.069,VI210507.070,NJ2020,5,NJ2020_5
NJ-6,1,,2020-09-03,53.0017718995784,4.78901453000596,,17.2,22.5333333333333,,,,,,,,1.22,0.32,0.95,1.54,0.32,21353.1438415159,3503.01464254953,5.16795865633075,0.164051470291638,0.00024202331491267,4702883.03130148,2332420.50538652,2370462.52591496,0.495955457506041,153088962.108731,122845568.993892,25154252.8353221,5089140.27951703,0.802445632276488,0.164311342168851,0.0332430255546606,32.552151752404,NJ_Algae_NJ_6.fcs,BA210507.070,VI210507.071,NJ2020,6,NJ2020_6
NJ-7,1,,2020-09-05,53.0017718995784,4.78901453000596,,18.2,22.6,,,,,,,,0.97,0.26,1.03,1.25,0.28,11360.4651162791,2030.23255813953,0.775193798449612,0.17871033776868,6.82360968952576e-05,3599258.6490939,1837173.06011258,1762085.58898133,0.510430963491628,133369028.00659,107261385.595218,22336907.103334,3770735.30803807,0.804245087472017,0.16748196666943,0.0282729458585524,37.0545829042224,NJ_Algae_NJ_7.fcs,BA210507.071,VI210507.072,NJ2020,7,NJ2020_7
1,7,64PE477_S00C01,2020-09-16,53.356861,3.418833,29.488,17.2749,34.3311,1.1929,0.2389,234.035,44.403855,1024.84996035077,6.985,6.923,0.24035,0.15,0.03555,0.26,0.01965,42533.3333333333,25689.9224806202,0.775193798449612,0.603995042647809,1.82255595246774e-05,1053212.52059308,601835.726053189,451376.794539892,0.571428571428572,33559719.9341021,23971546.8462301,8282416.77146655,1305756.31640554,0.714295199521944,0.246796361463382,0.0389084390146737,31.8641482871891,Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs,BA210507.029,VI210507.038,PE477,1,PE477_1
1,15,64PE477_S00C01,,,,29.488,17.2735,34.3322,1.1637,0.2073,234.353,44.407289,1024.88640552479,15.059,14.925,,,,,,,,,,,,,,,,,,,,,,,,,,PE477,1,PE477_1
2,7,64PE477_S04C01,2020-09-17,53.827278,2.285889,34.494,15.8104,34.5196,0.8545,0.4281,235.671,43.183358,1025.33314229214,7.087,7.024,0.08035,0.17,0.03555,0.1,0.01965,34757.3643410853,31309.3023255814,1.55038759689922,0.900796217409729,4.46060173517408e-05,1314415.15650741,910036.590360307,404378.566147106,0.692350956130484,20867792.4217463,15834291.6602692,4686580.28292922,346920.478547923,0.758790931989924,0.224584382871536,0.016624685138539,15.8761045309269,Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs,BA210507.030,VI210507.039,PE477,2,PE477_2
